=== Page 4 ===
款,項,"金
額",,,
"農林水産業費
6
1 農業費",1 農業費,"575,433",,,

=== Page 8 ===
項,"金
額",,,
nan,千円,,,
2 林業費,"432,880",,,
3 水産業費,"2,584",,,
"商工費
7
1 商工費","5,525,329",,,
1 商工費,"5,525,329",,,
"土木費
8
1 土木管理費
2 道路橋梁費
3 河川費
4 港湾費
5 都市計画費
6 公園費
7 下水道費
8 住宅費","13,904,324",,,
1 土木管理費,"538,974",,,
2 道路橋梁費,"2,838,207",,,
3 河川費,"1,080,955",,,
4 港湾費,"240,867",,,
5 都市計画費,"4,867,768",,,
6 公園費,"1,601,782",,,
7 下水道費,"1,751,892",,,
8 住宅費,"983,879",,,
"消防費
9
1 消防費","6,082,682",,,
1 消防費,"6,082,682",,,
"教育費
10
1 教育総務費
2 小学校費
3 中学校費
4 高等学校費
5 幼稚園費
6 社会教育費
7 体育保健費","12,402,939",,,
1 教育総務費,"1,587,267",,,
2 小学校費,"1,734,997",,,
3 中学校費,"1,235,930",,,
4 高等学校費,"836,164",,,
5 幼稚園費,"1,070,012",,,
6 社会教育費,"2,140,689",,,
7 体育保健費,"3,797,880",,,
"災害復旧費
11
1 農林水産業施設災害復旧費
2 土木施設災害復旧費","164,720",,,
1 農林水産業施設災害復旧費,"154,720",,,
2 土木施設災害復旧費,"10,000",,,

=== Page 9 ===
項,"金
額",,,
"公債費
12
1 公債費","千円
7,606,642",,,
1 公債費,"7,606,642",,,
"諸支出金
13
1 普通財産取得費",100,,,
1 普通財産取得費,100,,,
"予備費
14
1 予備費","100,000",,,
1 予備費,"100,000",,,
歳 出 合 計,"110,800,000",,,

=== Page 10 ===
"事
項",期 間,"限
度
額",,,
例規集デ ー タ 更 新 業 務,"９年度から
13年度まで",１４，９１３,,,
高齢者運転免許 証 返 納 支 援 事 業,"９年度から
11年度まで",５，２６８,,,
市民交流施設運営 管 理 業 務,"９年度から
13年度まで",３１１，２８５,,,
"まちづくりセンター運営管理 業 務
（令和８ 年 度 設 定 分 ）","９年度から
11年度まで",５２，７２１,,,
"市税コンビニエン ス ス ト ア
収
納
業
務","９年度から
11年度まで",６２，６５６,,,
県議会議員選挙準備 業 務,９年度,１０，１２３,,,
市議会議員選挙準備 業 務,９年度,４４，８７０,,,
"ユニバーサル就 労 支 援 セ ン タ ー
運
営
業
務","９年度から
13年度まで",５４７，４５２,,,
