ページ,目,本年度予算額,前年度予算額,比較,区分,金額,説明
12,"ま ち づ く り セ ン タ ー
改
修
事
業","170,800","同
上","同
上",,,
12,"ま ち づ く り セ ン タ ー
用 地 取 得 事 業","29,000","同
上","同
上",,,
12,"ワ ン ス ト ッ プ 総 合 窓 口
シ ス テ ム 更 新 事 業","60,200","同
上","同
上",,,
12,放課後児童クラブ整備事業,"14,000","同
上","同
上",,,
12,保 育 園 施 設 等 改 修 事 業,"23,200","同
上","同
上",,,
12,"私 立 保 育 園 等
整 備 費 補 助 事 業","114,900","同
上","同
上",,,
12,ふ じ や ま 学 園 改 修 事 業,"40,400","同
上","同
上",,,
12,"こ ど も 発 達 セ ン タ ー
改
修
事
業","25,400","同
上","同
上",,,
12,農 道 等 整 備 事 業,"106,300","同
上","同
上",,,
12,林 道 等 整 備 事 業,"52,600","同
上","同
上",,,
12,産業交流展示場改修事業,"146,400","同
上","同
上",,,
12,観 光 施 設 整 備 事 業,"74,600","同
上","同
上",,,
12,道 路 河 川 管 理 事 業,"21,800","同
上","同
上",,,
12,急 傾 斜 地 整 備 事 業,"15,000","同
上","同
上",,,
12,道 路 整 備 事 業,"1,428,600","同
上","同
上",,,
12,河 川 整 備 事 業,"393,000","同
上","同
上",,,
12,港 湾 整 備 事 業,"110,600","同
上","同
上",,,
12,都 市 計 画 事 業,"1,207,000","同
上","同
上",,,
12,公 園 整 備 事 業,"382,000","同
上","同
上",,,
12,市 営 住 宅 整 備 事 業,"478,300","同
上","同
上",,,
13,起 債 の 目 的,限 度 額,起債の方法,利 率,,,
13,消 防 施 設 整 備 事 業,"1,359,000","証書借 入
又
は
証券発 行","5.0％以内
（ただし、利率見直し
方式で借り入れる資金
について、利率の見直
しを行った後において
は、当該見直し後の利
率）",,,
13,防 災 基 盤 整 備 事 業,"46,200","同
上","同
上",,,
13,小学校空調設備整備事業,"21,700","同
上","同
上",,,
13,"小 学 校 屋 内 運 動 場
リ ニ ュ ー ア ル 事 業","172,200","同
上","同
上",,,
13,小 学 校 校 舎 等 改 修 事 業,"236,200","同
上","同
上",,,
13,田子浦小学校校舎改築事業,"29,500","同
上","同
上",,,
13,中学校空調設備整備事業,"96,800","同
上","同
上",,,
13,中 学 校 校 舎 等 改 修 事 業,"204,900","同
上","同
上",,,
13,"吉 原 第 一 中 学 校 武 道 場
整
備
事
業","98,300","同
上","同
上",,,
13,文 化 財 整 備 事 業,"30,700","同
上","同
上",,,
13,中 央 図 書 館 改 修 事 業,"44,300","同
上","同
上",,,
13,富 士 体 育 館 改 修 事 業,"15,600","同
上","同
上",,,
13,富 士 川 体 育 館 改 修 事 業,"14,100","同
上","同
上",,,
13,総合運動公園施設改修事業,"12,200","同
上","同
上",,,
13,砂山公園プール改修事業,"68,300","同
上","同
上",,,
13,屋 外 運 動 施 設 改 修 事 業,"23,000","同
上","同
上",,,
13,林 業 施 設 災 害 復 旧 事 業,"15,800","同
上","同
上",,,
13,計,"7,602,600",,,,,
15,"議決年月 日
款 別",当 初 予 算,当 初 予 算,第 １ 回,,,
15,"議決年月 日
款 別",令和８． ３,令和８． ３,,,,
15,"１ . 市
税",補 正,,,,,
15,"１ . 市
税",現 計,"49,286,30 0",,,,
15,"２ . 地
方
譲
与
税",補 正,,,,,
15,"２ . 地
方
譲
与
税",現 計,"685,00 0",,,,
15,３ . 利 子 割 交 付 金,補 正,,,,,
15,３ . 利 子 割 交 付 金,現 計,"100,00 0",,,,
15,４ . 配 当 割 交 付 金,補 正,,,,,
15,４ . 配 当 割 交 付 金,現 計,"380,00 0",,,,
15,５ . 株 式 等 譲 渡 所 得 割 交 付 金,補 正,,,,,
15,５ . 株 式 等 譲 渡 所 得 割 交 付 金,現 計,"700,00 0",,,,
15,６ . 法 人 事 業税交 付 金,補 正,,,,,
15,６ . 法 人 事 業税交 付 金,現 計,"770,00 0",,,,
15,７ . 地 方 消 費税交 付 金,補 正,,,,,
15,７ . 地 方 消 費税交 付 金,現 計,"7,800,00 0",,,,
15,８ . ゴ ル フ 場 利 用 税 交 付 金,補 正,,,,,
15,８ . ゴ ル フ 場 利 用 税 交 付 金,現 計,"60,00 0",,,,
15,９ . 環 境 性 能割交 付 金,補 正,,,,,
15,９ . 環 境 性 能割交 付 金,現 計,"2,00 0",,,,
15,10 . 地 方特例交付 金,補 正,,,,,
15,10 . 地 方特例交付 金,現 計,"458,00 0",,,,
15,11 . 地 方 交 付 税,補 正,,,,,
15,11 . 地 方 交 付 税,現 計,"200,00 0",,,,
15,12 . 交 通 安 全対策 特 別 交 付 金,補 正,,,,,
