款,項,目,節,説明,R7,R8
,,,,生活保護費負担金（調定見込額 被保護者就労支援事業13567*3/4(10175)+被保護者健康管理支援事業1028*3/4(771)+生活保護費負担金3490000*3/4(2617500)+中国残留邦人生活支援給付金11860*3/4(8895)+中国残留邦人配偶者支援金1152*10/10(1152)）,,2638493
,,,,生活保護費負担金過年度分,,1
,,衛生費負担金,,,0,1500
,,,保健衛生費負担金,,,1500
,,,,新型コロナウイルス予防接種健康被害給付費負担金（調定見込額 1500*10/10）,,1500
,,教育費負担金,,,261628,257910
,,,幼稚園費負担金,,,257910
,,,,施設型・地域型保育給付費負担金（調定見込額 施設型給付1号分694140*0.74*1/2）,,256831
,,,,子育てのための施設等利用給付交付金（調定見込額 私立幼稚園2159*1/2）,,1079
,国庫補助金,,,,3471403,3824969
,,総務費補助金,,,100841,168955
,,,総務管理費補助金,,,91240
,,,,地域少子化対策重点推進交付金,,5428
,,,,地域未来交付金,,76845
,,,,地域女性活躍推進交付金,,1801
,,,,個人番号カード交付事務費補助金,,4592
,,,,外国人受入環境整備交付金,,2574
,,,戸籍住民基本台帳費補助金,,,77715
,,,,個人番号カード交付事務費補助金（調定見込額 77715*10/10）,,77715
,,民生費補助金,,,913828,1144132
,,,社会福祉費補助金,,,102422
,,,,重層的支援体制整備事業交付金,,48174
,,,,地域少子化対策重点推進交付金,,23720
,,,,生活困窮者就労準備支援事業費等補助金,,23780
,,,,女性保護費補助金,,6748
,,,老人福祉費補助金,,,175511
,,,,介護保険事業費補助金,,5840
,,,,生活困窮者就労準備支援事業費等補助金,,13230
,,,,重層的支援体制整備事業交付金,,150053
,,,,地域未来交付金,,6388
,,,児童福祉費補助金,,,793103
,,,,重層的支援体制整備事業交付金,,82672
,,,,子ども・子育て支援交付金,,264477
,,,,地域少子化対策重点推進交付金,,12368
,,,,保育対策総合支援事業費補助金,,49817
,,,,子ども・子育て支援体制整備総合推進事業費補助金,,5355
,,,,児童虐待防止対策支援事業費補助金,,1123
,,,,妊婦のための支援給付費補助金,,2287
,,,,母子家庭等対策総合支援事業費補助金,,10570
,,,,物価高騰対応重点支援地方創生臨時交付金,,76152
,,,,就学前教育・保育施設整備交付金,,288282
,,,障害者福祉費補助金,,,53984
