款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
,,,職員手当等,,,,511,,,
,,,共済費,,,,425,,,
,,,報償費,,,,1929,,,
,,,旅費,,,,246,,,
,,,需用費,,,,3447,,,
,,,役務費,,,,41342,,,
,,,委託料,,,,4301,,,
,,,負担金、補助及び交付金,,,,119023,,,
,,住居表示整,,,46,,,,,
,,,需用費,,46,,,,,
,,式典行事費,,,1258,,3754,,,
,,,報酬,,50,,50,,,
,,,需用費,,1,,685,,,
,,,,印刷製本費,256,,,備考: 11 役務費 41,,
,,,,手数料,2,,,,,
,,,,筆耕翻訳料,39,,,備考: 13 使用料及び賃 20 借料,,
,,,報償費,,,,1566,,,
,,,役務費,,,,37,,,
,,,委託料,,,,1400,,,
,,,使用料及び賃借料,,,,16,,,
,,多文化共生,,,28499,,,,,
,,,報酬,,15712,,,,,
,,,,期末手当,2358,,,備考: 国際交流ラウンジ言語通訳 16人,,
,,,,勤勉手当,289,,,"備考: 002 多文化共生費 6,422",,
,,,共済費,,2540,,,,,
,,,旅費,,1215,,,,,
,,防犯まちづ,,,59465,,,,,
,,,報酬,,91,,,,,
,,,旅費,,16,,,,,
,,,,防犯思想普及事業費補助金,8200,,,"備考: 10 需用費 1,595",,
,,交通安全対,,,60427,,,,,
,,,報酬,,1714,,,,,
,,,,期末手当,343,,,"備考: 003 交通安全普及事業費 19,800",,
,,,,勤勉手当,42,,,"備考: 001 交通安全運動推進事業費 1,059",,
,,,共済費,,368,,,,,
,,市民活動支,,,30112,,,,,
,,,報酬,,533,,,,,
,,,旅費,,26,,,,,
,,市民交流施,,,113957,,,,,
,,,需用費,,10263,,,,,
,,,,印刷製本費,8,,,"備考: 富士川ふれあいホール多目的室 修繕料 10,254 天井落下対策 12 委託料 96,279 14 工事請負費 7,315",,
,,まちづくり,,,250879,,,,,
,,,報酬,,55492,,,,,
,,,職員手当等,,127261,,,,,
,,,,時間外勤務手,20000,,,,,
,,,,地区まちづくりセンター,260,,,"備考: 当 指定管理促進補助金 休日勤務手当 500 002 まちづくりセンター受付管理事業費 53,527 期末手当 54,369 受付管理業務（平日夜間、土曜日、日曜日） 勤勉手当 36,709 003 まちづくりセンター備品整備事業費 1,421 掃除機等の備品整備 4 共済費 75,573 004 市民サービスコーナー事業費 3,761",,
,,,旅費,,79,,,,,
,,,,消耗品費,5587,,,"備考: 002 まちづくりセンター維持補修事業費 24,712",,
,,,,燃料費,414,,,備考: 石積擁壁改修詳細設計（今泉）,,
,,,,食糧費,10,,,備考: 駐車場舗装改修（吉永北）,,
,,,,印刷製本費,50,,,備考: 11 役務費 6,,
,,,,光熱水費,36367,,,備考: 不特定緊急維持補修 ほか,,
,,,,手数料,6,,,"備考: 12 委託料 18,425",,
,,財政調整基,,,20492,,,,,
,,,積立金,,20492,,,,,
,,諸費,,,161000,,161000,,,
,,,補償、補及,,1000,,,,,
,,,補償、補填及び賠償金,,,,1000,,,
,,,償還金、利子及び割引料,,,,160000,,,
,,市史編さん費,,,,,4484,,,
,,,報酬,,,,2988,,,
,,,職員手当等,,,,733,,,
,,,共済費,,,,550,,,
,,,旅費,,,,80,,,
,,,需用費,,,,133,,,
,,シティプロモーション費,,,,,129189,,,
,,,報酬,,,,4835,,,
,,,職員手当等,,,,1180,,,
,,,共済費,,,,952,,,
,,,報償費,,,,901,,,
,,,旅費,,,,526,,,
,,,需用費,,,,2896,,,
,,,役務費,,,,6618,,,
,,,委託料,,,,17524,,,
,,,使用料及び賃借料,,,,17200,,,
,,,負担金、補助及び交付金,,,,76557,,,
,,消費者対策費,,,,,30623,,,
,,,報酬,,,,16078,,,
,,,職員手当等,,,,3827,,,
,,,共済費,,,,3041,,,
,,,報償費,,,,195,,,
,,,旅費,,,,954,,,
,,,需用費,,,,1104,,,
,,,役務費,,,,541,,,
,,,負担金、補助及び交付金,,,,4883,,,
,,男女共同参画費,,,,,18926,,,
,,,報酬,,,,8524,,,
,,,職員手当等,,,,1212,,,
,,,共済費,,,,1018,,,
,,,報償費,,,,3618,,,
,,,旅費,,,,303,,,
,,,需用費,,,,1440,,,
,,,役務費,,,,90,,,
,,,委託料,,,,2622,,,
,,,使用料及び賃借料,,,,9,,,
,,,備品購入費,,,,90,,,
,,資産経営費,,,,,77560,,,
,,,報酬,,,,2010,,,
,,,旅費,,,,219,,,
,,,需用費,,,,231,,,
,,,委託料,,,,38480,,,
,,,使用料及び賃借料,,,,465,,,
,,,負担金、補助及び交付金,,,,229,,,
,,,積立金,,,,35926,,,
,,公用車管理費,,,,,69930,,,
,,,報酬,,,,5706,,,
,,,職員手当等,,,,1370,,,
,,,共済費,,,,1054,,,
,,,旅費,,,,224,,,
,,,需用費,,,,27010,,,
,,,役務費,,,,4923,,,
,,,委託料,,,,586,,,
,,,使用料及び賃借料,,,,2259,,,
,,,備品購入費,,,,25500,,,
,,,負担金、補助及び交付金,,,,574,,,
,,,公課費,,,,724,,,
,,企画費,,,,,72924,,,
,,,報酬,,,,1248,,,
,,,報償費,,,,2519,,,
,,,旅費,,,,2388,,,
,,,需用費,,,,3685,,,
,,,役務費,,,,1419,,,
,,,委託料,,,,35716,,,
,,,使用料及び賃借料,,,,76,,,
,,,負担金、補助及び交付金,,,,25599,,,
,,,積立金,,,,274,,,
,,情報システム費,,,,,2260059,,,
,,,報償費,,,,297,,,
,,,旅費,,,,414,,,
,,,需用費,,,,3527,,,
,,,役務費,,,,64751,,,
,,,委託料,,,,1610688,,,
,,,使用料及び賃借料,,,,573989,,,
,,,備品購入費,,,,855,,,
,,,負担金、補助及び交付金,,,,5538,,,
,,公平委員会費,,,,,405,,,
,,,報酬,,,,180,,,
,,,旅費,,,,108,,,
,,,需用費,,,,17,,,
,,,負担金、補助及び交付金,,,,100,,,
,,住居表示整備費,,,,,55,,,
,,,需用費,,,,55,,,
,,多文化共生費,,,,,36594,,,
,,,報酬,,,,21329,,,
,,,職員手当等,,,,3781,,,
,,,共済費,,,,3328,,,
,,,報償費,,,,2247,,,
,,,旅費,,,,1540,,,
,,,需用費,,,,1386,,,
,,,役務費,,,,387,,,
,,,委託料,,,,2030,,,
,,,使用料及び賃借料,,,,417,,,
,,,備品購入費,,,,149,,,
,,防犯まちづくり費,,,,,54275,,,
,,,報酬,,,,91,,,
,,,報償費,,,,265,,,
,,,旅費,,,,12,,,
,,,需用費,,,,1508,,,
,,,役務費,,,,12,,,
,,,委託料,,,,165,,,
,,,使用料及び賃借料,,,,646,,,
,,,工事請負費,,,,587,,,
,,,負担金、補助及び交付金,,,,50989,,,
,,交通安全対策費,,,,,69092,,,
,,,報酬,,,,2107,,,
,,,職員手当等,,,,516,,,
,,,共済費,,,,425,,,
,,,報償費,,,,18150,,,
,,,旅費,,,,94,,,
,,,需用費,,,,5953,,,
,,,役務費,,,,2618,,,
,,,委託料,,,,1731,,,
,,,使用料及び賃借料,,,,31,,,
,,,負担金、補助及び交付金,,,,37467,,,
,,市民活動支援費,,,,,29828,,,
,,,報酬,,,,533,,,
,,,報償費,,,,353,,,
,,,旅費,,,,24,,,
,,,需用費,,,,399,,,
,,,役務費,,,,3482,,,
,,,委託料,,,,23408,,,
,,,使用料及び賃借料,,,,1129,,,
,,,負担金、補助及び交付金,,,,500,,,
,,市民交流施設費,,,,,106440,,,
,,,需用費,,,,12228,,,
,,,委託料,,,,94112,,,
,,,備品購入費,,,,100,,,
,,まちづくりセンター費,,,,,726480,,,
,,,報酬,,,,52267,,,
,,,給料,,,,167159,,,
,,,職員手当等,,,,118819,,,
,,,共済費,,,,65063,,,
,,,旅費,,,,1757,,,
,,,需用費,,,,54892,,,
,,,役務費,,,,6074,,,
,,,委託料,,,,202514,,,
,,,使用料及び賃借料,,,,8430,,,
,,,工事請負費,,,,16060,,,
,,,公有財産購入費,,,,30585,,,
,,,備品購入費,,,,2730,,,
,,,負担金、補助及び交付金,,,,130,,,
,,まちづくりセンター建設費,,,,,190281,,,
,,,需用費,,,,88,,,
,,,役務費,,,,193,,,
,,,委託料,,,,28000,,,
,,,工事請負費,,,,156000,,,
,,,備品購入費,,,,6000,,,
,,財政調整基金費,,,,,56266,,,
,,,積立金,,,,56266,,,
,徴税費,,,,850689,,929257,,,
,,税務総務費,,,648430,,687680,,,
,,,報酬,,14346,,16658,,,
,,,職員手当等,,192720,,219751,,,
,,,給料,,,,336435,,,
,,,共済費,,,,112060,,,
,,,報償費,,,,6,,,
,,,旅費,,,,809,,,
,,,需用費,,,,1083,,,
,,,役務費,,,,136,,,
,,,負担金、補助及び交付金,,,,742,,,
,,賦課徴収費,,,202259,,241577,,,
,,,報酬,,22920,,27077,,,
,,,,期末手当,3526,,,"備考: 003 パートタイム会計年度任用職員 （資産税） 7,085",,
,,,,勤勉手当,433,,,"備考: 002 収税賦課収納事務費 76,223",,
,,,共済費,,4483,,5023,,,
,,,報償費,,274,,,,,
,,,旅費,,2106,,2070,,,
,,,,特別旅費,412,,,備考: 市税キャッシュレス収納 スマートフォン決済アプリ,,
,,,需用費,,7201,,6750,,,
,,,,消耗品費,2907,,,,,
,,,,地方税共同機構負担金,15600,,,,,
,,,,印刷製本費,4294,,,,,
,,,,共通納税システム収納手数料負担金,5406,,,,,
,,,役務費,,53220,,62522,,,
,,,職員手当等,,,,4944,,,
,,,委託料,,,,65416,,,
,,,使用料及び賃借料,,,,17531,,,
,,,備品購入費,,,,155,,,
,,,負担金、補助及び交付金,,,,49789,,,
,,,償還金、利子及び割引料,,,,300,,,
,戸籍住民基本台帳費,,,,495496,,663894,,,
,,戸籍住民基本台帳費,,,,,663894,,,
,,,報酬,,,,51749,,,
,,,給料,,,,147440,,,
,,,職員手当等,,,,102262,,,
,,,共済費,,,,57879,,,
,,,旅費,,,,1944,,,
,,,需用費,,,,6940,,,
,,,役務費,,,,9208,,,
,,,委託料,,,,218417,,,
,,,使用料及び賃借料,,,,35666,,,
,,,備品購入費,,,,27514,,,
,,,負担金、補助及び交付金,,,,4875,,,
,選挙費,,,,44707,,72917,,,
,,選挙管理委,,,44173,,,,,
,,,報酬,,2488,,,,,
,,,職員手当等,,12596,,,,,
,,常時啓発費,,,534,,551,,,
,,,報償費,,80,,85,,,
,,,旅費,,,,7,,,
,,,需用費,,,,184,,,
,,,役務費,,,,220,,,
,,,負担金、補助及び交付金,,,,55,,,
,,選挙管理委員会費,,,,,48417,,,
,,,報酬,,,,2692,,,
,,,給料,,,,23097,,,
,,,職員手当等,,,,14663,,,
,,,共済費,,,,7397,,,
,,,旅費,,,,82,,,
,,,需用費,,,,155,,,
,,,役務費,,,,17,,,
,,,負担金、補助及び交付金,,,,314,,,
,,静岡県議会議員選挙準備費,,,,,14016,,,
,,,報酬,,,,300,,,
,,,職員手当等,,,,3521,,,
,,,報償費,,,,654,,,
,,,旅費,,,,43,,,
,,,需用費,,,,1654,,,
,,,役務費,,,,5790,,,
,,,委託料,,,,1958,,,
,,,備品購入費,,,,96,,,
,,富士市議会議員選挙準備費,,,,,9933,,,
,,,報償費,,,,605,,,
,,,需用費,,,,3336,,,
,,,役務費,,,,4913,,,
,,,委託料,,,,1079,,,
,統計調査費,,,,36416,,36169,,,
,,統計調査総,,,36416,,,,,
,,,報酬,,9551,,,,,
,,,職員手当等,,7880,,,,,
,,統計調査総務費,,,,,36169,,,
,,,報酬,,,,13785,,,
,,,給料,,,,9667,,,
,,,職員手当等,,,,6527,,,
,,,共済費,,,,4062,,,
,,,報償費,,,,4,,,
,,,旅費,,,,214,,,
,,,需用費,,,,583,,,
,,,役務費,,,,1210,,,
,,,負担金、補助及び交付金,,,,117,,,
,監査委員費,,,,66434,,65461,,,
,,監査委員費,,,66434,,65461,,,
,,,報酬,,2220,,2220,,,
,,,職員手当等,,18771,,18227,,,
,,,,当 会議、研修会出席者負担金,90,,,,,
,,,,休日勤務手当,50,,,,,
,,,,期末手当,9229,,,,,
,,,,勤勉手当,5128,,,"備考: 4 共済費 11,205 8 旅費 194",,
,,,給料,,,,33439,,,
,,,共済費,,,,10604,,,
,,,旅費,,,,234,,,
,,,需用費,,,,337,,,
,,,役務費,,,,3,,,
,,,委託料,,,,217,,,
,,,負担金、補助及び交付金,,,,180,,,
,総務費,,,,,9851001,,,,
,,総務費,,,,9851001,,,,
,,,総務費,,,9851001,,,,
民生費,,,,,37723107,45000000,43341693,,,
,社会福祉費,,,,5657957,,5901283,,,
,,社会福祉総,,,984592,,,,,
,,,報酬,,11007,,,,,
,,,職員手当等,,160983,,,,,
,,,,社会福祉大会事業負担金,300,,,,,
,,,報償費,,1681,,,,,
,,,,人権相談事業費等負担金,1013,,,,,
,,,,社会を明るくする運動負担金,1600,,,"備考: 8 旅費 845 003 避難行動要支援者支援事業費 6,373 避難行動要支援者名簿同意確認事業",,
,,,,費用弁償,627,,,備考: 避難行動要支援者支援計画啓発事業,,
,,,,普通旅費,77,,,備考: 個別避難計画作成促進事業,,
,,,,特別旅費,141,,,"備考: 004 結婚支援事業費 48,326",,
,,,需用費,,26420,,,,,
,,,,結婚新生活支援補助金,46100,,,"備考: 消耗品費 2,184 ふじのくに出会いサポートセンター 1,300 登録料助成金",,
,,,,食糧費,11,,,,,
,,,,ふじのくに結婚応援協議会負担金,232,,,,,
,,国民年金費,,,39246,,,,,
,,,報酬,,5184,,,,,
,,,職員手当等,,9675,,,,,
,,,,時間外勤務手,547,,,備考: 当,,
,,,,休日勤務手当,50,,,,,
,,,,期末手当,4881,,,,,
,,,,勤勉手当,3314,,,,,
,,国民健康保,,,1445090,,,,,
,,,繰出金,,1445090,,,,,
,,,,保険基盤安定分,1087377,,,,,
,,,,未就学児均等割保険税分,9068,,,,,
,,,,職員給与費等分,216901,,,,,
,,,,産前産後保険税分,2854,,,,,
,,,,出産育児一時金分,33333,,,,,
,,,,財政安定化支援事業分,95557,,,,,
,,後期高齢者,,,3189029,,,,,
,,,負担金、補助,,93924,,,,,
,,,,療養給付費分,2355832,,,"備考: 27 繰出金 3,095,105",,
,,,,保険基盤安定分,622608,,,,,
,,,,保健事業費分,43422,,,,,
,,社会福祉総務費,,,,,1933492,,,
,,,報酬,,,,27050,,,
,,,給料,,,,118851,,,
,,,職員手当等,,,,94399,,,
,,,共済費,,,,53033,,,
,,,報償費,,,,5180,,,
,,,旅費,,,,4012,,,
,,,需用費,,,,2760,,,
,,,役務費,,,,5459,,,
,,,委託料,,,,95582,,,
,,,使用料及び賃借料,,,,62,,,
,,,負担金、補助及び交付金,,,,1527104,,,
,,老人福祉費,,,,,3967791,,,
,,,報酬,,,,88972,,,
,,,給料,,,,103629,,,
,,,職員手当等,,,,72067,,,
,,,共済費,,,,52133,,,
,,,報償費,,,,1003,,,
,,,旅費,,,,3043,,,
,,,需用費,,,,5419,,,
,,,役務費,,,,2430,,,
,,,委託料,,,,323971,,,
,,,使用料及び賃借料,,,,1628,,,
,,,備品購入費,,,,310,,,
,,,負担金、補助及び交付金,,,,54718,,,
,,,扶助費,,,,8245,,,
,,,償還金、利子及び割引料,,,,371,,,
,,,繰出金,,,,3256364,,,
,老人福祉費,,,,3773176,,,,,
,,高齢者対策,,,82996,,,,,
,,,報酬,,2158,,,,,
,,,,期末手当,432,,,,,
,,,,高齢者公共交通支援事業補助金,23300,,,,,
,,,,勤勉手当,53,,,"備考: 003 ひとり暮らし高齢者等生活支援費 7,597",,
,,,共済費,,473,,,,,
,,,報償費,,23370,,,,,
,,,,費用弁償,78,,,,,
,,,,老人クラブ活動費補助金,4589,,,,,
,,,需用費,,506,,,,,
,,,,通信運搬費,106,,,,,
,,,,筆耕翻訳料,13,,,"備考: 12 委託料 27,868",,
,,要援護高齢,,,565885,,,,,
,,,報酬,,9647,,,,,
,,,,期末手当,1759,,,"備考: 004 パートタイム会計年度任用職員（国保年金） 3,981",,
,,,,勤勉手当,216,,,"備考: 002 要援護高齢者福祉管理費 3,192",,
,,,共済費,,1934,,,,,
,,,,会議、研修会出席者負担金,7,,,,,
,,,旅費,,687,,,,,
,,,,特別旅費,182,,,備考: 緊急保護措置費,,
,,,需用費,,1261,,,,,
,,介護保険費,,,3124295,,,,,
,,,需用費,,2,,,,,
,,,,社会福祉法人等による利用者負担,7007,,,備考: 軽減制度事業費補助金 補助対象社会福祉法人数 20法人,,
,,,,手数料,1,,,"備考: 002 介護保険事業特別会計繰出金 3,117,104",,
,,,委託料,,60,,,,,
,,,,介護給付費分,2505891,,,備考: 17 備品購入費 86,,
,,,,地域支援事業費分,100291,,,,,
,,,負担金、補助,,7007,,,,,
,,,,低所得者保険料軽減分,168957,,,,,
,,,,及び交付金 職員給与等事務費分,341964,,,備考: 003 介護予防支援費 148,,
,児童福祉費,,,,15488035,,18672331,,,
,,子ども子育,,,841429,,,,,
,,,報酬,,60157,,,,,
,,,職員手当等,,99587,,,,,
,,,,子どもの居場所づくり運営事業補助金,3500,,,,,
,,こども家庭,,,277080,,,,,
,,,報酬,,17801,,,,,
,,,職員手当等,,6955,,,,,
,,,,当 県保健師会負担金,9,,,"備考: 期末手当 4,322 会議、研修会出席者負担金 26 勤勉手当 670 002 こども家庭管理事業費 1,511 児童虐待相談 4 共済費 4,934",,
,,,,東部家庭児童相談室連絡協議会負担金,30,,,,,
,,,報償費,,528,,,,,
,,,,県家庭児童相談室連絡協議会負担金,8,,,,,
,,,,県保健師会負担金,3,,,"備考: 8 旅費 757 003 児童虐待防止事業費 5,308 要保護児童対策地域協議会研修会、会議開催",,
,,ひとり親家,,,92094,,,,,
,,,旅費,,54,,,,,
,,,,印刷製本費,99,,,備考: ひとり親家庭等中卒就職者激励記念品 4人,,
,,,役務費,,2492,,,,,
,,,扶助費,,88843,,,,,
,,,報酬,,5717,,,,,
,,,,期末手当,843,,,備考: 受給資格認定等事務,,
,,,,勤勉手当,104,,,"備考: 002 児童手当扶助費 3,920,341",,
,,,共済費,,1179,,,,,
,,,,費用弁償,329,,,"備考: 特例給付 10,352人",,
,,児童扶養手,,,860592,,,,,
,,,報酬,,5394,,,,,
,,,,期末手当,917,,,備考: 受給資格認定等事務,,
,,,,勤勉手当,113,,,"備考: 002 児童扶養手当扶助費 852,001",,
,,,共済費,,954,,,,,
,,,,費用弁償,354,,,,,
,,,,普通旅費,3,,,備考: 10 需用費 160,,
,,,,消耗品費,30,,,,,
,,,,印刷製本費,130,,,,,
,,こども医療,,,1103388,,,,,
,,,報酬,,4336,,,,,
,,,,期末手当,868,,,"備考: 医療費請求事務 547,215件",,
,,,,勤勉手当,107,,,"備考: 002 こども医療助成費 1,008,839",,
,,,共済費,,946,,,,,
,,,,費用弁償,219,,,"備考: 0歳児の通院 27,707件",,
,,,需用費,,152,,,,,
,,,,通信運搬費,3368,,,備考: 支給件数 92件,,
,,,,手数料,74426,,,備考: 17 備品購入費 127,,
,,保育園費,,,3000349,,2695754,,,
,,,報酬,,535689,,462472,,,
,,,職員手当等,,665355,,628282,,,
,,,共済費,,404108,,360955,,,
,,,旅費,,27581,,20496,,,
,,,,日本スポーツ振興センター災害共済掛金,599,,,"備考: 10 需用費 275,521",,
,,,,その他各種団体負担金等,60,,,"備考: 002 保育園等備品整備事業費 6,800",,
,,,,消耗品費,22931,,,備考: 園児用机・椅子など管理備品等整備,,
,,,,燃料費,6704,,,,,
,,,給料,,,,895080,,,
,,,報償費,,,,5697,,,
,,,需用費,,,,215456,,,
,,,役務費,,,,4775,,,
,,,委託料,,,,22949,,,
,,,使用料及び賃借料,,,,28496,,,
,,,工事請負費,,,,39900,,,
,,,原材料費,,,,333,,,
,,,備品購入費,,,,8546,,,
,,,負担金、補助及び交付金,,,,1317,,,
,,,補償、補填及び賠償金,,,,1000,,,
,,保育園振興,,,5380146,,,,,
,,,委託料,,72317,,,,,
,,,,補助金,899122,,,"備考: 002 地域型保育給付費 760,177",,
,,,扶助費,,4407221,,,,,
,,,,特別支援事業費補助金,77000,,,,,
,,,,公立保育園民間移管円滑化事業費補助金,32950,,,"備考: 005 保育対策等促進事業費 300,234 保育人材就職支援事業 オンライン研修事業 実費徴収補足給付事業",,
,,,,一時預かり事業費補助金,74814,,,,,
,,,,延長保育事業費補助金,11180,,,,,
,,,,病児保育事業費補助金,122818,,,,,
,,,,保育体制強化事業費補助金,28440,,,,,
,,,,保育補助者雇上強化事業費補助金,45000,,,,,
,,,,保育の質の向上のための研修事業費,1930,,,備考: 補助金,,
,,子ども子育て支援費,,,,,1035409,,,
,,,報酬,,,,73100,,,
,,,給料,,,,129525,,,
,,,職員手当等,,,,113895,,,
,,,共済費,,,,57135,,,
,,,報償費,,,,899,,,
,,,旅費,,,,3453,,,
,,,需用費,,,,29063,,,
,,,役務費,,,,2659,,,
,,,委託料,,,,606642,,,
,,,使用料及び賃借料,,,,6249,,,
,,,備品購入費,,,,2700,,,
,,,負担金、補助及び交付金,,,,10088,,,
,,,償還金、利子及び割引料,,,,1,,,
,,こども家庭費,,,,,362526,,,
,,,報酬,,,,22224,,,
,,,給料,,,,6195,,,
,,,職員手当等,,,,8630,,,
,,,共済費,,,,6009,,,
,,,報償費,,,,332,,,
,,,旅費,,,,590,,,
,,,需用費,,,,882,,,
,,,役務費,,,,684,,,
,,,委託料,,,,11530,,,
,,,使用料及び賃借料,,,,390,,,
,,,負担金、補助及び交付金,,,,156888,,,
,,,扶助費,,,,148171,,,
,,,償還金、利子及び割引料,,,,1,,,
,,ひとり親家庭等対策費,,,,,97630,,,
,,,旅費,,,,4,,,
,,,需用費,,,,155,,,
,,,役務費,,,,3028,,,
,,,委託料,,,,500,,,
,,,扶助費,,,,93942,,,
,,,償還金、利子及び割引料,,,,1,,,
,,児童手当費,,,,,4904741,,,
,,,報酬,,,,9918,,,
,,,職員手当等,,,,2222,,,
,,,共済費,,,,1937,,,
,,,旅費,,,,410,,,
,,,需用費,,,,507,,,
,,,役務費,,,,1066,,,
,,,扶助費,,,,4888680,,,
,,,償還金、利子及び割引料,,,,1,,,
,,児童扶養手当費,,,,,905353,,,
,,,報酬,,,,6473,,,
,,,職員手当等,,,,1340,,,
,,,共済費,,,,1078,,,
,,,旅費,,,,327,,,
,,,需用費,,,,234,,,
,,,役務費,,,,900,,,
,,,扶助費,,,,895000,,,
,,,償還金、利子及び割引料,,,,1,,,
,,こども医療費,,,,,1200458,,,
,,,報酬,,,,5105,,,
,,,職員手当等,,,,1247,,,
,,,共済費,,,,1024,,,
,,,旅費,,,,178,,,
,,,需用費,,,,157,,,
,,,役務費,,,,77887,,,
,,,扶助費,,,,1114860,,,
,,保育園振興費,,,,,7470460,,,
,,,委託料,,,,68331,,,
,,,使用料及び賃借料,,,,4252,,,
,,,負担金、補助及び交付金,,,,1171242,,,
,,,扶助費,,,,6226635,,,
,障害者福祉費,,,,8959779,,10931297,,,
,,障害者福祉,,,8874,,,,,
,,,報酬,,4149,,,,,
,,,,期末手当,830,,,備考: 障害福祉施策を実施するための事務,,
,,,,勤勉手当,102,,,,,
,,,,県精神保健福祉協会負担金,50,,,,,
,,,共済費,,904,,,,,
,,,,全国手話言語市区長会負担金,10,,,備考: 8 旅費 227,,
,,障害者医療,,,629127,,,,,
,,,旅費,,2,,,,,
,,,,消耗品費,6,,,"備考: 002 特別障害者手当等給付費 118,544",,
,,,,印刷製本費,44,,,備考: 001 特別障害者手当等給付事務費 132,,
,,,役務費,,16165,,,,,
,,障害者自立,,,7652261,,,,,
,,,報酬,,6725,,,,,
,,,,期末手当,948,,,"備考: 002 認定等審査会費 3,059",,
,,,,勤勉手当,117,,,"備考: 001 障害支援区分認定事務費 3,059",,
,,,共済費,,1049,,,,,
,,,旅費,,325,,,,,
,,障害者援護,,,57648,,,,,
,,,報償費,,837,,,,,
,,,,県保健師会負担金,3,,,備考: 002 障害者相談員事業費 850,,
,,,,普通旅費,84,,,備考: 身体障害者相談員 14人,,
,,,需用費,,953,,,,,
,,,,通信運搬費,13,,,備考: ライフサポート事業 ヘルパー派遣 206時間,,
,,,委託料,,32659,,,,,
,,,負担金、補助,,763,,,,,
,,障害者就労,,,16558,,,,,
,,,委託料,,16558,,,,,
,,障害児入所,,,255918,,,,,
,,,報酬,,7879,,,,,
,,,職員手当等,,71521,,,,,
,,,,夜間勤務手当,1200,,,,,
,,こども発達,,,339393,,,,,
,,,報酬,,37567,,,,,
,,,職員手当等,,72007,,,,,
,,,,会議、研修会出席者負担金,175,,,"備考: 4 共済費 47,743 002 早期発達支援事業費 2,145",,
,,,報償費,,679,,,,,
,,障害者福祉総務費,,,,,9972,,,
,,,報酬,,,,4977,,,
,,,職員手当等,,,,1215,,,
,,,共済費,,,,994,,,
,,,旅費,,,,164,,,
,,,需用費,,,,862,,,
,,,役務費,,,,1700,,,
,,,負担金、補助及び交付金,,,,60,,,
,,障害者医療手当給付費,,,,,629824,,,
,,,需用費,,,,118,,,
,,,役務費,,,,15920,,,
,,,委託料,,,,1154,,,
,,,負担金、補助及び交付金,,,,33487,,,
,,,扶助費,,,,578145,,,
,,,貸付金,,,,1000,,,
,,障害者自立支援費,,,,,9448249,,,
,,,報酬,,,,7243,,,
,,,職員手当等,,,,1255,,,
,,,共済費,,,,1060,,,
,,,報償費,,,,3107,,,
,,,旅費,,,,261,,,
,,,需用費,,,,214,,,
,,,役務費,,,,9927,,,
,,,委託料,,,,45253,,,
,,,使用料及び賃借料,,,,1469,,,
,,,負担金、補助及び交付金,,,,865,,,
,,,扶助費,,,,9377288,,,
,,,償還金、利子及び割引料,,,,307,,,
,,障害者援護事業費,,,,,60555,,,
,,,報償費,,,,714,,,
,,,旅費,,,,44,,,
,,,需用費,,,,749,,,
,,,役務費,,,,13,,,
,,,委託料,,,,34268,,,
,,,負担金、補助及び交付金,,,,767,,,
,,,扶助費,,,,24000,,,
,,障害児入所施設費,,,,,381841,,,
,,,報酬,,,,9469,,,
,,,給料,,,,107653,,,
,,,職員手当等,,,,80689,,,
,,,共済費,,,,38837,,,
,,,報償費,,,,8,,,
,,,旅費,,,,805,,,
,,,需用費,,,,90529,,,
,,,役務費,,,,1900,,,
,,,委託料,,,,33774,,,
,,,使用料及び賃借料,,,,1461,,,
,,,備品購入費,,,,7569,,,
,,,負担金、補助及び交付金,,,,452,,,
,,,扶助費,,,,8695,,,
,,こども発達センター費,,,,,400856,,,
,,,報酬,,,,37591,,,
,,,給料,,,,143706,,,
,,,職員手当等,,,,88040,,,
,,,共済費,,,,52003,,,
,,,報償費,,,,455,,,
,,,旅費,,,,1752,,,
,,,需用費,,,,6690,,,
,,,役務費,,,,1141,,,
,,,委託料,,,,33025,,,
,,,使用料及び賃借料,,,,994,,,
,,,工事請負費,,,,34108,,,
,,,原材料費,,,,28,,,
,,,備品購入費,,,,774,,,
,,,負担金、補助及び交付金,,,,549,,,
,生活保護費,,,,3843652,,3868390,,,
,,生活保護総,,,269839,,,,,
,,,報酬,,25817,,,,,
,,,職員手当等,,88252,,,,,
,,,,当 会議、研修会出席者負担金,4,,,"備考: 休日勤務手当 50 002 社会福祉統計調査事業費 355 期末手当 26,968 国民生活基礎調査 5調査区",,
,,,,勤勉手当,18522,,,"備考: 4 共済費 43,478 7 報償費 326 8 旅費 1,434",,
,,扶助費,,,3573813,,3573223,,,
,,,報償費,,179,,179,,,
,,,,手数料,18,,,備考: 教育扶助費 120人／月,,
,,,扶助費,,3573615,,3573012,,,
,,,旅費,,,,13,,,
,,,役務費,,,,18,,,
,,,償還金、利子及び割引料,,,,1,,,
,,生活保護総務費,,,,,295167,,,
,,,報酬,,,,33671,,,
,,,給料,,,,103785,,,
,,,職員手当等,,,,94277,,,
,,,共済費,,,,44852,,,
,,,報償費,,,,556,,,
,,,旅費,,,,1509,,,
,,,需用費,,,,1618,,,
,,,役務費,,,,8630,,,
,,,委託料,,,,5770,,,
,,,使用料及び賃借料,,,,283,,,
,,,負担金、補助及び交付金,,,,215,,,
,,,償還金、利子及び割引料,,,,1,,,
