款,項,目,節,説明,R6,R7,R8,補足_R6,補足_R7,補足_R8
,,,,市有土地使用料,424,,417,,,
,,教育使用料,,,101600,,106020,,,
,,,高等学校使用,,81140,,,,,
,,,,高等学校授業料,81140,,,"備考: 料 9,900円×683人×12月",,
,,,幼稚園使用料,,1266,,975,,,
,,,,預かり保育料,1266,,975,,,
,,,社会教育使用,,781,,,,,
,,,,中央図書館市民ギャラリー使用料,781,,,備考: 料,,
,,,体育保健使用,,18413,,,,,
,,,,小・中・高等学校屋内運動場等使用料,15015,,,,,
,,,,料 小・中・高等学校屋外運動場夜間照明施設等使用料,2485,,,,,
,,,,高等学校庭球場使用料,704,,,,,
,,,,市有土地使用料,209,,,,,
,,,高等学校使用料,,,,87199,,,
,,,,高等学校授業料,,,87199,,,調定見込額: 9900円*734人*12月
,,,社会教育使用料,,,,611,,,
,,,,博物館使用料,,,10,,,
,,,,中央図書館市民ギャラリー使用料,,,601,,,
,,,体育保健使用料,,,,17235,,,
,,,,小・中・高等学校屋内運動場等使用料,,,13090,,,
,,,,小・中・高等学校屋外運動場夜間照明施設等使用料,,,2627,,,
,,,,高等学校庭球場使用料,,,880,,,
,,,,市有土地使用料,,,638,,,
,手数料,,,,419847,,405915,,,
,,総務手数料,,,99166,,95020,,,
,,,総務手数料,,99166,,95020,,,
,,,,行政不服審査手数料,1,,1,,,
,,,,戸籍手数料,33450,,34758,,,調定見込額: 戸籍の全部事項証明書・個人事項証明書15375(1通450円/コンビニ交付350円)+除籍記載事項証明謄抄本18113(1通750円)+受理証明等350(1通350円)+身分証明920(1通350円)
,,,,戸籍の全部事項証明書・個人事項証明書,15400,,,備考: 1通 450円（コンビニ交付350円）,,
,,,,除籍記載事項証明謄抄本,16650,,,備考: 1通 750円,,
,,,,受理証明等,385,,,備考: 1通 350円,,
,,,,身分証明,1015,,,備考: 1通 350円,,
,,,,住民基本台帳手数料,30200,,28000,,,調定見込額: 住民票の写し25300(1通300円/コンビニ交付200円)+戸籍の附票の写し2000(1通300円/コンビニ交付200円)+現況証明等595(1通350円)+住民基本台帳の閲覧105(1世帯350円)
,,,,住民票の写し,27800,,,備考: 1通 300円（コンビニ交付200円）,,
,,,,戸籍の附票の写し,1700,,,備考: 1通 300円（コンビニ交付200円）,,
,,,,現況証明等,595,,,備考: 1通 350円,,
,,,,住民基本台帳の閲覧,105,,,備考: 1通 350円,,
,,,,印鑑証明等手数料,20650,,17950,,,調定見込額: 印鑑登録証明15500(1通300円/コンビニ交付200円)+印鑑登録証2450(1件350円)
,,,,印鑑登録証明,18200,,,備考: 1通 300円（コンビニ交付200円）,,
,,,,印鑑登録証,2450,,,備考: 1件 350円,,
,,,,自動車臨時運行許可手数料,1125,,1125,備考: 1両 750円,,調定見込額: 1両750円
,,,,税証明手数料,13700,,13140,,,調定見込額: 所得・納税関係証明等7390(1件300円/コンビニ交付200円)+資産証明等3950(1件300円)+税証明謄抄本900(1件450円)+住宅用家屋証明900(1件900円)
,,,,所得・納税関係証明等,7690,,,備考: 1件 300円（コンビニ交付200円）,,
,,,,資産証明等,4210,,,備考: 1件 300円,,
,,,,税証明謄抄本,720,,,備考: 1件 450円,,
,,,,督促手数料,,,1,,,調定見込額: 1件70円
,,,,その他諸証明等手数料,,,45,,,
,,民生手数料,,,465,,651,,,
,,,社会福祉手数,,226,,,,,
,,,,介護サービス事業者指定申請手数料,226,,,備考: 料 更新24件,,
,,,老人福祉手数,,239,,,,,
,,,,介護予防・日常生活支援総合事業事業者指定申請手数料,179,,,備考: 料 新規5件 更新13件,,
,,,,介護予防支援事業手数料,60,,,備考: 介護予防サービス計画費,,
,,,社会福祉手数料,,,,333,,,
,,,,介護サービス事業者指定申請手数料,,,333,,,調定見込額: 更新33件
,,,老人福祉手数料,,,,318,,,
,,,,介護予防・日常生活支援総合事業事業者指定申請手数料,,,318,,,調定見込額: 新規10件 更新21件
,,衛生手数料,,,282791,,277637,,,
,,,保健衛生手数,,10889,,,,,
,,,,看護専門学校入学検定等手数料,707,,,,,
,,,,料 犬の登録等手数料,10182,,,,,
,,,清掃手数料,,271899,,266035,,,
,,,,塵芥処理手数料,271846,,266035,,,
,,,,一般廃棄物処理業許可申請手数料,53,,,,,
,,,環境対策手数,,3,,,,,
,,,,鳥獣飼養登録手数料,3,,,備考: 料,,
,,,保健衛生手数料,,,,11599,,,
,,,,看護専門学校入学検定等手数料,,,567,,,
,,,,犬の登録等手数料,,,11032,,,
,,,環境対策手数料,,,,3,,,
,,,,鳥獣飼養登録手数料,,,3,,,
,,農林水産業手数料,,,64,,65,,,
,,,農業手数料,,64,,65,,,
,,,,農地に関する証明手数料,64,,65,,,
,,商工手数料,,,1,,1,,,
,,,商工手数料,,1,,1,,,
,,,,計量手数料,1,,1,,,
,,土木手数料,,,24884,,19890,,,
,,,道路橋梁手数,,177,,,,,
,,,,放置自転車等撤去・保管手数料,177,,,備考: 料,,
,,,都市計画手数,,24686,,,,,
,,,,都市計画に関する証明手数料,12,,,備考: 料 28件,,
,,,,建築確認申請手数料,290,,,備考: 15件,,
,,,道路橋梁手数料,,,,177,,,
,,,,放置自転車等撤去・保管手数料,,,177,,,
,,,都市計画手数料,,,,19695,,,
,,,,都市計画に関する証明手数料,,,14,,,調定見込額: 35件
,,,,建築確認申請手数料,,,464,,,調定見込額: 15件
,,,,建築中間検査手数料,,,80,,,調定見込額: 2件
